0,250 
1,163 
2,153 
3,128 
4,170 
5,99 
6,110 
7,140 
8,106 
9,110 
10,108 
11,107 
12,102 
13,103 
14,97 
15,90 
16,100 
17,122 
18,136 
19,114 
20,102 
21,112 
22,102 
23,105 
24,81 
25,91 
26,113 
27,120 
28,122 
29,139 
30,135 
31,136 
32,128 
33,125 
34,124 
35,107 
36,107 
37,139 
38,137 
39,139 
40,142 
41,147 
42,160 
43,150 
44,172 
45,153 
46,152 
47,166 
48,167 
49,220 
50,192 
51,208 
52,246 
53,245 
54,244 
55,255 
56,258 
57,269 
58,274 
59,296 
60,304 
61,310 
62,366 
63,408 
64,453 
65,468 
66,489 
67,513 
68,504 
69,457 
70,485 
71,530 
72,509 
73,548 
74,580 
75,595 
76,578 
77,582 
78,558 
79,541 
80,489 
81,518 
82,446 
83,461 
84,420 
85,418 
86,393 
87,471 
88,424 
89,398 
90,398 
91,363 
92,361 
93,379 
94,375 
95,394 
96,411 
97,377 
98,398 
99,431 
100,416 
101,460 
102,466 
103,497 
104,468 
105,460 
106,504 
107,514 
108,623 
109,616 
110,613 
111,697 
112,710 
113,698 
114,806 
115,929 
116,993 
117,934 
118,970 
119,967 
120,883 
121,902 
122,815 
123,1007 
124,1092 
125,1120 
126,1045 
127,1099 
128,1102 
129,1312 
130,1321 
131,892 
132,1233 
133,1198 
134,2209 
135,1218 
136,1410 
137,1424 
138,1122 
139,962 
140,793 
141,901 
142,885 
143,1025 
144,1325 
145,1079 
146,1001 
147,760 
148,701 
149,593 
150,658 
151,674 
152,766 
153,638 
154,649 
155,600 
156,544 
157,635 
158,626 
159,468 
160,572 
161,714 
162,990 
163,888 
164,917 
165,764 
166,873 
167,867 
168,757 
169,740 
170,571 
171,1147 
172,1125 
173,789 
174,608 
175,457 
176,519 
177,555 
178,603 
179,556 
180,668 
181,690 
182,348 
183,132 
184,128 
185,104 
186,92 
187,92 
188,83 
189,88 
190,90 
191,79 
192,97 
193,107 
194,106 
195,78 
196,88 
197,78 
198,70 
199,83 
200,87 
201,66 
202,82 
203,69 
204,71 
205,71 
206,66 
207,70 
208,60 
209,57 
210,74 
211,80 
212,45 
213,66 
214,43 
215,51 
216,58 
217,52 
218,63 
219,64 
220,43 
221,57 
222,53 
223,48 
224,40 
225,38 
226,39 
227,48 
228,50 
229,56 
230,51 
231,44 
232,31 
233,43 
234,32 
235,26 
236,34 
237,32 
238,37 
239,41 
240,22 
241,28 
242,32 
243,34 
244,30 
245,26 
246,28 
247,25 
248,31 
249,25 
250,34 
251,32 
252,36 
253,21 
254,14 
255,13 
